timestamp,total_tokens,prompt_tokens,completion_tokens,total_cost_usd,us_date_format
01.08.2023 18:19:16,2251,1766,485,0.003619,08/01/2023
02.08.2023 18:19:16,2251,1766,485,0.003619,08/02/2023
03.08.2023 18:19:16,2251,1766,485,0.003619,08/03/2023
07.08.2023 18:14:16,0,0,0,0.0,08/07/2023
07.08.2023 18:14:22,0,0,0,0.0,08/07/2023
08.08.2023 10:14:17,17,8,9,3e-05,08/08/2023
08.08.2023 10:19:10,17,8,9,3e-05,08/08/2023
08.08.2023 10:19:18,50,12,38,9.400000000000001e-05,08/08/2023
08.08.2023 10:19:45,34,11,23,6.25e-05,08/08/2023
08.08.2023 10:20:10,22,12,10,3.8e-05,08/08/2023
08.08.2023 10:20:19,43,13,30,7.950000000000001e-05,08/08/2023
08.08.2023 10:27:18,43,33,10,6.950000000000001e-05,08/08/2023
08.08.2023 10:27:25,57,52,5,8.8e-05,08/08/2023
08.08.2023 12:13:13,48,38,10,7.7e-05,08/08/2023
08.08.2023 12:13:18,62,57,5,9.55e-05,08/08/2023
16.08.2023 12:13:24,1979,1691,288,0.0031125000000000002,08/16/2023
16.08.2023 12:17:53,1180,1053,127,0.0018335,08/16/2023
16.08.2023 12:17:58,799,638,161,0.0012790000000000002,08/16/2023
21.10.2023 18:27:08,5346,4501,845,0.0084415,10/21/2023
21.10.2023 18:29:11,5152,4099,1053,0.008254500000000001,10/21/2023
21.10.2023 18:29:27,4521,3539,982,0.0072724999999999995,10/21/2023
21.10.2023 18:30:07,612,452,160,0.000998,10/21/2023
21.10.2023 18:31:11,999,624,375,0.001686,10/21/2023
21.10.2023 18:32:09,1102,1011,91,0.0016985,10/21/2023
21.10.2023 18:32:32,1128,1113,15,0.0016995,10/21/2023
21.10.2023 18:32:47,1146,1140,6,0.001722,10/21/2023
21.10.2023 18:33:01,238,225,13,0.0003635,10/21/2023
21.10.2023 18:35:06,3216,2542,674,0.005161000000000001,10/21/2023
21.10.2023 18:35:16,3184,2604,580,0.005066,10/21/2023
21.10.2023 18:35:39,686,623,63,0.0010605,10/21/2023
21.10.2023 18:37:11,765,709,56,0.0011755,10/21/2023
21.10.2023 18:38:17,769,676,93,0.0012000000000000001,10/21/2023
21.10.2023 18:38:45,1924,1736,188,0.00298,10/21/2023
28.10.2023 10:57:57,3172,2484,688,0.005102000000000001,10/28/2023
28.10.2023 11:00:12,9740,8557,1183,0.0152015,10/28/2023
28.10.2023 11:01:17,1520,1382,138,0.002349,10/28/2023
28.10.2023 11:02:41,3580,3089,491,0.005615500000000001,10/28/2023
